"Participant","numtextchecks","numtextssent","appropriateinclass","appropriateinbathroom","appropriateinreligserv","appropriateduringsex","appropriateondate","appropriateonphone","textedinclass","textedinbathroom","textedinreligserv","textedduringsex","textedondate","textedonphone","ethnicity"
"108",15.0,"200+",1,3,1,2,5,4,"Yes","Yes","No","No","Yes","No","Asian"
"109",11.0,"26-50",2,4,1,1,5,2,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"110",2.0,"51-100",4,3,1,1,4,3,"Yes","Yes","No","No","Yes","Yes","Black"
"111",19.0,"1-25",3,2,3,4,4,4,"Yes","No","No","No","Yes","No","Hispanic"
"112",15.0,"26-50",3,2,1,1,4,2,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"113",16.0,"200+",2,2,1,1,5,1,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"114",109.0,"200+",3,2,1,1,5,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"115",16.0,"100+",2,5,1,1,4,4,"Yes","Yes","Yes","Yes","Yes","Yes","Caucasian"
"116",2.0,"51-100",2,5,1,2,2,3,"Yes","No","No","No","Yes","Yes","Caucasian"
"117",16.0,"26-50",4,5,5,1,4,4,"Yes","Yes","Yes","No","No","Yes","Caucasian"
"118",15.0,"26-50",2,4,1,2,2,5,"Yes","No","No","No","Yes","Yes","Caucasian"
"119",7.0,"1-25",1,4,1,2,5,5,"Yes","Yes","No","No","Yes","Yes","Asian"
"120",31.0,"100+",2,2,2,2,2,3,"Yes","Yes","No","No","Yes","Yes","Other"
"121",8.0,"51-100",1,2,1,2,3,4,"Yes","No","No","Yes","Yes","Yes","Asian"
"122",13.0,"51-100",2,5,2,1,1,5,"No","Yes","No","No","Yes","No","Asian"
"123",16.0,"100+",4,3,1,1,4,3,"No","Yes","No","No","No","No","Caucasian"
"124",18.0,"200+",3,4,1,1,5,2,"Yes","Yes","Yes","No","Yes","No","Caucasian"
"125",2.0,"1-25",2,3,1,1,4,3,"Yes","Yes","Yes","No","Yes","No","Asian"
"126",10.0,"51-100",3,3,1,1,4,3,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"127",11.0,"1-25",3,3,3,3,5,4,"No","Yes","No","No","Yes","Yes","Black"
"128",17.0,"100+",3,5,1,1,5,2,"No","No","No","No","No","Yes","Asian"
"129",10.0,"300+",2,2,4,1,4,4,"Yes","Yes","No","No","Yes","Yes","Asian"
"130",8.0,"200+",2,4,1,1,2,3,"Yes","Yes","No","No","Yes","Yes","Black"
"131",8.0,"26-50",1,4,2,2,4,4,"No","Yes","No","No","Yes","Yes","Caucasian"
"132",21.0,"100+",4,4,3,4,5,2,"Yes","No","Yes","No","Yes","No","Caucasian"
"133",16.0,"26-50",1,3,1,1,4,3,"Yes","Yes","No","No","No","Yes","Asian"
"134",7.0,"100+",2,2,1,1,5,4,"Yes","Yes","No","No","Yes","Yes","Hispanic"
"135",1.0,"1-25",3,3,1,2,3,2,"Yes","Yes","No","No","Yes","No","Caucasian"
"136",10.0,"300+",5,5,3,1,4,3,"No","Yes","No","No","Yes","Yes","Asian"
"137",4.0,"1-25",3,2,1,4,4,3,"Yes","Yes","No","No","Yes","Yes","Asian"
"138",10.0,"26-50",4,4,1,1,4,2,"No","Yes","No","No","No","Yes","Caucasian"
"139",11.0,"100+",4,2,1,1,4,2,"Yes","Yes","No","No","No","Yes","Caucasian"
"140",18.0,"26-50",5,4,1,1,3,3,"No","Yes","No","No","Yes","Yes","Caucasian"
"141",8.0,"51-100",5,5,2,2,4,4,"Yes","Yes","No","No","Yes","Yes","Caucasian"
"142",4.0,"51-100",2,3,2,2,5,2,"Yes","No","No","No","Yes","No","Other"
"143",95.0,"1-25",3,5,1,1,2,4,"No","Yes","No","No","Yes","Yes","Asian"
"144",18.0,"26-50",2,1,2,2,1,2,"Yes","Yes","Yes","No","Yes","No","Asian"
"145",10.0,"100+",3,5,1,1,3,4,"Yes","Yes","No","No","No","Yes","Caucasian"
"146",8.0,"1-25",3,3,1,2,2,4,"No","No","Yes","No","Yes","Yes","Caucasian"
"147",6.0,"51-100",1,5,1,1,4,2,"Yes","No","No","No","Yes","No","Black"
"148",1.0,"26-50",4,4,2,1,4,3,"Yes","Yes","Yes","No","No","Yes","Hispanic"
"149",15.0,"51-100",4,2,1,2,4,4,"Yes","Yes","Yes","No","Yes","Yes","Caucasian"
"150",10.0,"200+",3,4,1,1,5,3,"Yes","Yes","Yes","No","Yes","No","Caucasian"
